Model,Accuracy,Precision,Recall,Macro_F1,Weighted_F1,ROC_AUC
XGBoost,0.9202692687747036,0.7778096986347744,0.9218253209456323,0.8023951713177206,0.9365199781122775,0.989411716518713
Random Forest,0.884572628458498,0.7177443182928288,0.8297947881507571,0.7323970476593162,0.9079200943841671,0.9703331901050566
Logistic Regression,0.7440093873517787,0.5804461772842199,0.6526819377411699,0.574465801040949,0.7959042283287019,0.8781198632389801
